"Best4Mage FCPM","Best4Mage FCPM"
"BEST4MAGE EXTENSIONS","BEST4MAGE EXTENSIONS"
"Basic Options","Basic Options"
"Enabled","Enabled"
"Use product level settings","Use product level settings"
"Position and layout","Position and layout"
"Select Matrix Template","Select Matrix Template"
"Select Matrix Position","Select Matrix Position"
"Show Matrix Link","Show Matrix Link"
"Show Dropdown in frontend","Show Dropdown in frontend"
"Second Attribute in Matrix","Second Attribute in Matrix"
"Show Layout","Show Layout"
"Display Tabs","Display Tabs"
"Default Tab","Default Tab"
"Number of columns","Number of columns"
"Matrix options","Matrix options"
"Show Only Checkbox","Show Only Checkbox"
"Show Product Price","Show Product Price"
"Show Row Total","Show Row Total"
"Show Grand Total","Show Grand Total"
"Hide Total Column","Hide Total Column"
"Show Stock","Show Stock"
"Show Product Image","Show Product Image"
"Category layout","Category layout"
"Do you want individual Add to Cart","Do you want individual Add to Cart"
"Other settings","Other settings"
"Include jQuery","Include jQuery"
"Enable for Customer Group","Enable for Customer Group"
