"A lower number is a higher priority","A lower number is a higher priority"
"A prototype CSS selector that finds the product block in your catalog listings","A prototype CSS selector that finds the product block in your catalog listings"
"A prototype CSS selector that finds the product image on the product page","A prototype CSS selector that finds the product image on the product page"
"A prototype CSS selector that finds the product image within the product product block","A prototype CSS selector that finds the product image within the product product block"
Action,Action
"Add after","Add after"
"Add Condition Collection","Add Condition Collection"
"Add CSS Selector","Add CSS Selector"
"Add New Condition","Add New Condition"
"Add Product Ribbon","Add Product Ribbon"
"Add Ribbon Image","Add Ribbon Image"
"Advanced Information","Advanced Information"
"Always Continue","Always Continue"
"Any selected attribute must be available to the products on the pages that the ribbon displays. This usually means the attribute must be set to ""Used in Product Listing"" in Catalog -> Attributes.","Any selected attribute must be available to the products on the pages that the ribbon displays. This usually means the attribute must be set to ""Used in Product Listing"" in Catalog -> Attributes."
"Are you sure?","Are you sure?"
"Attrib. Set Name","Attrib. Set Name"
Attribute,Attribute
"Bottom Center","Bottom Center"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Cannot change namespace","Cannot change namespace"
"Category Image","Category Image"
"Category Page Ribbon","Category Page Ribbon"
"Category Product Image Selector","Category Product Image Selector"
"Category product items cannot be found on the page. You will need to alter the Category Product Selector in the developer section of the configuration to match your theme, so that products can be found. We can perform this action for you as part of our custom development service.","Category product items cannot be found on the page. You will need to alter the Category Product Selector in the developer section of the configuration to match your theme, so that products can be found. We can perform this action for you as part of our custom development service."
"Category Product Selector","Category Product Selector"
"Category Text","Category Text"
"Change status","Change status"
Condition,Condition
"Condition condition is invalid","Condition condition is invalid"
"Condition is invalid","Condition is invalid"
Conditions,Conditions
Configuration,Configuration
Configure,Configure
"Container Style","Container Style"
Created,Created
"CSS Selector","CSS Selector"
"CSS style to modify inner container","CSS style to modify inner container"
"CSS style to modify outer container. Useful for positioning and z-index","CSS style to modify outer container. Useful for positioning and z-index"
"CSS style to modify ribbon image (width, height, border, etc)","CSS style to modify ribbon image (width, height, border, etc)"
"CSS style to modify ribbon text (color, size, positioning, etc)","CSS style to modify ribbon text (color, size, positioning, etc)"
Custom,Custom
"Debugging Status","Debugging Status"
Default,Default
"Default State","Default State"
Delete,Delete
"Delete Condition Collection","Delete Condition Collection"
"Deleting default image is currently not supported","Deleting default image is currently not supported"
Developer,Developer
Disabled,Disabled
"Do not upload duplicate images","Do not upload duplicate images"
Edit,Edit
"Enable or disable product ribbons","Enable or disable product ribbons"
Enabled,Enabled
"Equal to","Equal to"
Exluded,Exluded
Extendware,Extendware
Fail,Fail
"Fallback Position Selectors","Fallback Position Selectors"
"From Date","From Date"
General,General
"General Information","General Information"
"Greater than","Greater than"
"Greater than or equal to","Greater than or equal to"
Height,Height
"Hide if ribbon already exists in this position","Hide if ribbon already exists in this position"
"Hide Status","Hide Status"
ID,ID
"If enabled, then an alert box will give notice why ribbons are not displaying.","If enabled, then an alert box will give notice why ribbons are not displaying."
"If enabled, this ribbon will not be shown if another ribbon with a higher priority is shown in the same position. Position is defined on the ribbon page (e.g., top right, middle center, etc)","If enabled, this ribbon will not be shown if another ribbon with a higher priority is shown in the same position. Position is defined on the ribbon page (e.g., top right, middle center, etc)"
"If set to ""stop"" no more ribbons will be added to a product after this ribbon is added. Set to ""always continue"" if there will be multiple ribbons shown on a single product.","If set to ""stop"" no more ribbons will be added to a product after this ribbon is added. Set to ""always continue"" if there will be multiple ribbons shown on a single product."
"If the product does not match any condition groups, then this determines whether the ribbon will be shown on the product. Almost always select ""Fail"" unless you want to show on every product.","If the product does not match any condition groups, then this determines whether the ribbon will be shown on the product. Almost always select ""Fail"" unless you want to show on every product."
Image,Image
"Image File","Image File"
"Image file already exists","Image file already exists"
"Image file does not exist","Image file does not exist"
"Image has been deleted","Image has been deleted"
"Image has been successfully saved","Image has been successfully saved"
"Image Information","Image Information"
"Image Style","Image Style"
Images,Images
"Improve Your Store","Improve Your Store"
Included,Included
"Inner Container Style","Inner Container Style"
